39.134,#genre#
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV3,http://111.20.40.166/PLTV/88888893/224/3221226397/index.m3u8
CCTV4,http://111.20.40.164/PLTV/88888893/224/3221226191/index.m3u8
CCTV5,http://111.20.40.160/PLTV/88888893/224/3221226395/index.m3u8
CCTV6,http://111.20.40.167/PLTV/88888893/224/3221226393/index.m3u8
CCTV7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV8,http://111.20.40.166/PLTV/88888893/224/3221226391/index.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV10,http://cm.wshls.homecdn.com/live/11ed8.m3u8
CCTV13,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
北京卫视,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
北京卫视,https://live.goodiptv.club/api/ghyx.php?id=BTV1HD_6000
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?
凤凰中文,http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰资讯,http://107.151.203.111:2209/135/hk.php?id=fhzx

咪咕,#genre#
CCTV-1HD,http://jh.d7g.cn/tv/migu.php?id=cctv1
CCTV-1HD,http://jh.d7g.cn/tv/migu.php?id=cctv1b
CCTV-2HD,http://jh.d7g.cn/tv/migu.php?id=cctv2
CCTV-3HD,http://jh.d7g.cn/tv/migu.php?id=cctv3
CCTV-4HD,http://jh.d7g.cn/tv/migu.php?id=cctv4
CCTV-5HD,http://jh.d7g.cn/tv/migu.php?id=cctv5
CCTV-5HD,http://jh.d7g.cn/tv/migu.php?id=cctv5b
CCTV-6HD,http://jh.d7g.cn/tv/migu.php?id=cctv6
CCTV-7HD,http://jh.d7g.cn/tv/migu.php?id=cctv7
CCTV-8HD,http://jh.d7g.cn/tv/migu.php?id=cctv8
CCTV-9HD,http://jh.d7g.cn/tv/migu.php?id=cctv9
CCTV-10HD,http://jh.d7g.cn/tv/migu.php?id=cctv10
CCTV-12HD,http://jh.d7g.cn/tv/migu.php?id=cctv12
CCTV-13HD,http://jh.d7g.cn/tv/migu.php?id=cctv13
北京卫视HD,http://jh.d7g.cn/tv/migu.php?id=bjws
CHC家庭影院,http://jh.d7g.cn/tv/migu.php?id=chcjtyy
凤凰中文,http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰资讯,http://107.151.203.111:2209/135/hk.php?id=fhzx
